review_id,product_name,category,reviewer_id,rating,review_text,sentiment,is_fake,verified_purchase,helpful_votes,review_length,review_date,exclamation_count,capital_ratio
REV_00021,Sports - Tennis Racket,Sports,2235,5,Wow! Incredible! Super! Fantastic! Excellent!,positive,1,0,1,5,2025-03-16,5,0.1111111111111111
REV_00022,Sports - Running Shoes,Sports,8886,3,Great product! Really satisfied with the quality. Worth the money.,positive,0,1,10,10,2025-07-11,1,0.045454545454545456
REV_00023,Electronics - Laptop,Electronics,8973,5,Very good quality. Exceeded my expectations. Will buy again.,positive,0,0,18,9,2025-08-10,0,0.05
REV_00024,Clothing - T-Shirt,Clothing,9238,4,Great Great Great! Buy it now! You won't regret! Thanks seller.,positive,1,0,0,11,2025-01-30,3,0.09523809523809523
REV_00025,Sports - Running Shoes,Sports,5033,1,Worst product ever! Don't buy! Scam! Fraud!,negative,1,0,1,7,2025-01-05,4,0.09302325581395349
REV_00026,Sports - Running Shoes,Sports,4910,4,Very good quality. Exceeded my expectations. Will buy again.,positive,0,1,42,9,2025-06-15,0,0.05
REV_00027,Home - Curtain,Home,2638,3,Great product! Really satisfied with the quality. Worth the money.,positive,0,0,39,10,2025-09-21,1,0.045454545454545456
REV_00028,Sports - Dumbbells,Sports,9900,4,Great product! Really satisfied with the quality. Worth the money. Thanks seller.,positive,0,1,23,12,2024-11-02,1,0.04938271604938271
REV_00029,Sports - Running Shoes,Sports,3546,2,Expected better quality. Cheap material. Not recommended. Good delivery.,negative,0,1,8,9,2025-06-11,0,0.05555555555555555
REV_00030,Clothing - Jacket,Clothing,1832,5,Best seller! Top quality! Must have! Recommended!,positive,1,0,2,7,2025-09-11,4,0.08163265306122448
REV_00031,Home - Mixer,Home,8007,4,Love it! Exactly what I was looking for. Perfect!,positive,0,1,10,9,2025-01-14,2,0.08163265306122448
REV_00032,Electronics - Laptop,Electronics,1685,5,Best seller! Top quality! Must have! Recommended!,positive,1,0,1,7,2025-05-24,4,0.08163265306122448
REV_00033,Electronics - Headphones,Electronics,7658,4,Love it! Exactly what I was looking for. Perfect!,positive,0,1,22,9,2024-12-15,2,0.08163265306122448
REV_00034,Clothing - Jeans,Clothing,6442,2,Terrible experience. Product arrived damaged. Poor packaging.,negative,0,1,11,7,2025-04-01,0,0.04918032786885246
REV_00035,Clothing - Jacket,Clothing,6728,3,Amazing product! Fast delivery and great customer service. Thanks seller.,positive,0,1,30,10,2025-05-25,1,0.0410958904109589
REV_00036,Clothing - Jeans,Clothing,5573,4,Amazing product! Fast delivery and great customer service.,positive,0,1,17,8,2025-05-02,1,0.034482758620689655
REV_00037,Books - Cookbook,Books,5349,3,Great product! Really satisfied with the quality. Worth the money.,positive,0,1,11,10,2025-10-09,1,0.045454545454545456
REV_00038,Books - Textbook,Books,4114,1,Worst experience! Never again! Disaster! Scam! Quick response.,negative,1,0,4,8,2025-06-20,4,0.08064516129032258
REV_00039,Books - Fiction Novel,Books,6409,5,Wow! Incredible! Super! Fantastic! Excellent!,positive,1,0,0,5,2024-12-13,5,0.1111111111111111
REV_00040,Electronics - Headphones,Electronics,4143,5,Very good quality. Exceeded my expectations. Will buy again. Fast shipping.,positive,0,0,44,11,2025-03-27,0,0.05333333333333334
REV_00041,Books - Biography,Books,6279,4,Amazing product! Fast delivery and great customer service. Thanks seller.,positive,0,1,19,10,2025-03-04,1,0.0410958904109589
REV_00042,Clothing - Dress,Clothing,6491,4,Love it! Exactly what I was looking for. Perfect!,positive,0,1,18,9,2025-09-11,2,0.08163265306122448
REV_00043,Clothing - Jacket,Clothing,2193,4,Excellent purchase. Works perfectly as described. Highly recommend! Thanks seller.,positive,0,1,2,10,2025-03-09,1,0.04878048780487805
REV_00044,Sports - Yoga Mat,Sports,1090,3,Terrible experience. Product arrived damaged. Poor packaging. Would recommend.,negative,0,0,15,9,2025-09-04,0,0.05128205128205128
REV_00045,Clothing - Jeans,Clothing,8612,3,Not as described. Quality is poor. Disappointed with purchase.,negative,0,1,7,9,2024-11-21,0,0.04838709677419355
REV_00046,Sports - Bicycle,Sports,3607,5,Best purchase I made this year. Quality is outstanding!,positive,0,0,35,9,2025-02-27,1,0.05454545454545454
REV_00047,Clothing - Jacket,Clothing,5681,3,Expected better quality. Cheap material. Not recommended.,negative,0,1,17,7,2025-06-30,0,0.05263157894736842
REV_00048,Home - Bed,Home,2052,5,Perfect! Perfect! Perfect! Must buy! Great deal! Fast shipping.,positive,1,0,5,9,2025-03-30,5,0.09523809523809523
REV_00049,Sports - Tennis Racket,Sports,1320,4,Superb quality and value for money. Totally satisfied.,positive,0,0,24,8,2025-01-07,0,0.037037037037037035
REV_00050,Electronics - Headphones,Electronics,9947,5,Superb quality and value for money. Totally satisfied.,positive,0,0,34,8,2024-12-24,0,0.037037037037037035
REV_00051,Books - Biography,Books,7624,5,Great product! Really satisfied with the quality. Worth the money.,positive,0,0,21,10,2025-08-05,1,0.045454545454545456
REV_00052,Clothing - Dress,Clothing,3223,5,Best purchase I made this year. Quality is outstanding!,positive,0,1,5,9,2025-03-06,1,0.05454545454545454
REV_00053,Home - Curtain,Home,5133,5,Wow! Incredible! Super! Fantastic! Excellent! Thanks seller.,positive,1,0,3,7,2025-09-17,5,0.1
REV_00054,Sports - Running Shoes,Sports,1659,2,Product broke after 2 weeks. Waste of money. Don't buy.,negative,0,1,49,10,2025-10-13,0,0.05454545454545454
REV_00055,Clothing - T-Shirt,Clothing,8619,4,Excellent purchase. Works perfectly as described. Highly recommend! Fast shipping.,positive,0,0,42,10,2024-11-04,1,0.04878048780487805
REV_00056,Home - Vacuum,Home,6111,4,Excellent excellent excellent! Perfect perfect perfect! Good delivery.,positive,1,1,2,8,2025-01-07,2,0.04285714285714286
REV_00057,Books - Comic,Books,5941,2,Not as described. Quality is poor. Disappointed with purchase.,negative,0,1,6,9,2024-11-12,0,0.04838709677419355
REV_00058,Electronics - Camera,Electronics,9289,2,Does not work as advertised. Very frustrating purchase.,negative,0,0,42,8,2024-12-01,0,0.03636363636363636
REV_00059,Books - Comic,Books,9548,4,Love it! Exactly what I was looking for. Perfect! Fast shipping.,positive,0,0,45,11,2024-11-29,2,0.078125
REV_00060,Sports - Tennis Racket,Sports,4995,5,Wow! Incredible! Super! Fantastic! Excellent! Thanks seller.,positive,1,1,0,7,2025-03-05,5,0.1
REV_00061,Books - Textbook,Books,5232,4,Excellent purchase. Works perfectly as described. Highly recommend!,positive,0,0,13,8,2025-05-07,1,0.04477611940298507
REV_00062,Sports - Dumbbells,Sports,4937,5,Best product ever!!! Amazing!!! 5 stars!!!,positive,1,1,5,6,2024-11-09,9,0.047619047619047616
REV_00063,Books - Comic,Books,6016,1,Very low quality. Not worth the price at all.,negative,0,1,25,9,2024-11-23,0,0.044444444444444446
REV_00064,Books - Cookbook,Books,5438,5,Love it! Exactly what I was looking for. Perfect!,positive,0,1,22,9,2025-05-25,2,0.08163265306122448
REV_00065,Electronics - Laptop,Electronics,9595,5,Perfect! Perfect! Perfect! Must buy! Great deal!,positive,1,1,5,7,2024-12-27,5,0.10416666666666667
REV_00066,Electronics - Laptop,Electronics,3073,5,Perfect! Perfect! Perfect! Must buy! Great deal!,positive,1,0,0,7,2025-06-10,5,0.10416666666666667
REV_00067,Electronics - Camera,Electronics,5658,5,Great Great Great! Buy it now! You won't regret!,positive,1,0,0,9,2025-03-02,3,0.10416666666666667
REV_00068,Home - Vacuum,Home,2213,2,Terrible experience. Product arrived damaged. Poor packaging.,negative,0,1,4,7,2025-01-06,0,0.04918032786885246
REV_00069,Electronics - Laptop,Electronics,7818,4,Great product! Really satisfied with the quality. Worth the money.,positive,0,1,7,10,2024-12-22,1,0.045454545454545456
REV_00070,Sports - Yoga Mat,Sports,8025,3,Terrible experience. Product arrived damaged. Poor packaging.,negative,0,0,19,7,2025-05-25,0,0.04918032786885246
REV_00071,Electronics - Camera,Electronics,3573,1,Product broke after 2 weeks. Waste of money. Don't buy.,negative,0,1,16,10,2025-06-28,0,0.05454545454545454
REV_00072,Electronics - Laptop,Electronics,5720,5,Great Great Great! Buy it now! You won't regret! Fast shipping.,positive,1,0,3,11,2024-11-01,3,0.09523809523809523
REV_00073,Books - Fiction Novel,Books,4241,5,Excellent excellent excellent! Perfect perfect perfect!,positive,1,0,4,6,2025-03-25,2,0.03636363636363636
REV_00074,Clothing - Jeans,Clothing,5728,1,Worst product ever! Don't buy! Scam! Fraud!,negative,1,1,1,7,2025-03-18,4,0.09302325581395349
REV_00075,Home - Curtain,Home,8078,2,Worst experience! Never again! Disaster! Scam!,negative,1,0,0,6,2025-05-16,4,0.08695652173913043
REV_00076,Electronics - Smartphone,Electronics,8708,3,Superb quality and value for money. Totally satisfied. Fast shipping.,positive,0,1,36,10,2025-02-05,0,0.043478260869565216
REV_00077,Home - Vacuum,Home,7690,3,Expected better quality. Cheap material. Not recommended.,negative,0,0,5,7,2025-05-11,0,0.05263157894736842
REV_00078,Electronics - Laptop,Electronics,8451,5,Very good quality. Exceeded my expectations. Will buy again.,positive,0,0,48,9,2025-09-13,0,0.05
REV_00079,Home - Mixer,Home,8569,3,Does not work as advertised. Very frustrating purchase.,negative,0,1,42,8,2025-03-31,0,0.03636363636363636
REV_00080,Sports - Dumbbells,Sports,3146,5,Great Great Great! Buy it now! You won't regret! Quick response.,positive,1,0,0,11,2025-06-03,3,0.09375
REV_00081,Books - Fiction Novel,Books,7684,4,Love it! Exactly what I was looking for. Perfect!,positive,0,1,19,9,2025-09-11,2,0.08163265306122448
REV_00082,Electronics - Tablet,Electronics,5479,2,Terrible! Horrible! Awful! Stay away! Warning! Would recommend.,negative,1,0,5,8,2025-03-30,5,0.09523809523809523
REV_00083,Books - Biography,Books,3236,4,Amazing product! Fast delivery and great customer service.,positive,0,1,38,8,2025-09-23,1,0.034482758620689655
REV_00084,Books - Textbook,Books,9022,2,Complete waste! Garbage! Fake! Lies!,negative,1,1,2,5,2025-08-13,4,0.1111111111111111
REV_00085,Books - Textbook,Books,4912,5,Amazing product! Fast delivery and great customer service.,positive,0,1,12,8,2025-01-09,1,0.034482758620689655
REV_00086,Books - Fiction Novel,Books,3492,5,Love it! Exactly what I was looking for. Perfect!,positive,0,0,24,9,2025-02-17,2,0.08163265306122448
REV_00087,Clothing - Dress,Clothing,8486,2,Not as described. Quality is poor. Disappointed with purchase.,negative,0,0,6,9,2025-10-21,0,0.04838709677419355
REV_00088,Books - Biography,Books,9742,4,Very good quality. Exceeded my expectations. Will buy again. Nice packaging.,positive,0,0,41,11,2025-04-17,0,0.05263157894736842
REV_00089,Books - Cookbook,Books,8110,3,Excellent purchase. Works perfectly as described. Highly recommend!,positive,0,1,14,8,2025-09-08,1,0.04477611940298507
REV_00090,Electronics - Tablet,Electronics,5806,4,Great product! Really satisfied with the quality. Worth the money.,positive,0,1,20,10,2025-04-28,1,0.045454545454545456
REV_00091,Clothing - Jeans,Clothing,7267,4,Excellent purchase. Works perfectly as described. Highly recommend!,positive,0,1,5,8,2024-12-15,1,0.04477611940298507
REV_00092,Books - Cookbook,Books,8622,5,Love it! Exactly what I was looking for. Perfect! Good delivery.,positive,0,1,29,11,2025-06-03,2,0.078125
REV_00093,Clothing - T-Shirt,Clothing,5097,4,Best purchase I made this year. Quality is outstanding!,positive,0,1,40,9,2025-03-09,1,0.05454545454545454
REV_00094,Clothing - Shoes,Clothing,5847,1,Product broke after 2 weeks. Waste of money. Don't buy.,negative,0,0,36,10,2024-11-04,0,0.05454545454545454
REV_00095,Books - Textbook,Books,5689,4,Best seller! Top quality! Must have! Recommended!,positive,1,0,3,7,2025-07-03,4,0.08163265306122448
REV_00096,Home - Vacuum,Home,1645,4,Love it! Exactly what I was looking for. Perfect! Would recommend.,positive,0,1,40,11,2025-05-23,2,0.07575757575757576
REV_00097,Electronics - Camera,Electronics,3877,4,Great product! Really satisfied with the quality. Worth the money.,positive,0,1,20,10,2025-07-18,1,0.045454545454545456
REV_00098,Sports - Dumbbells,Sports,8894,5,Excellent excellent excellent! Perfect perfect perfect!,positive,1,1,2,6,2025-05-30,2,0.03636363636363636
REV_00099,Home - Mixer,Home,7511,3,Excellent purchase. Works perfectly as described. Highly recommend!,positive,0,1,43,8,2025-01-16,1,0.04477611940298507
REV_00100,Books - Fiction Novel,Books,5295,3,Amazing product! Fast delivery and great customer service.,positive,0,1,43,8,2025-01-02,1,0.034482758620689655
REV_00101,Home - Mixer,Home,8606,3,Not as described. Quality is poor. Disappointed with purchase. Good delivery.,negative,0,1,39,11,2024-11-04,0,0.05194805194805195
REV_00102,Books - Fiction Novel,Books,3222,3,Very good quality. Exceeded my expectations. Will buy again. Quick response.,positive,0,0,7,11,2025-04-13,0,0.05263157894736842
REV_00103,Sports - Tennis Racket,Sports,5583,4,Amazing product! Fast delivery and great customer service.,positive,0,1,31,8,2025-10-12,1,0.034482758620689655
REV_00104,Clothing - Shoes,Clothing,7018,4,Superb quality and value for money. Totally satisfied.,positive,0,1,6,8,2025-01-23,0,0.037037037037037035
REV_00105,Home - Mixer,Home,1349,4,Great product! Really satisfied with the quality. Worth the money.,positive,0,0,5,10,2025-10-03,1,0.045454545454545456
REV_00106,Clothing - Jeans,Clothing,6383,2,Not as described. Quality is poor. Disappointed with purchase. Fast shipping.,negative,0,1,37,11,2025-08-14,0,0.05194805194805195
REV_00107,Sports - Running Shoes,Sports,3159,4,Excellent purchase. Works perfectly as described. Highly recommend! Good delivery.,positive,0,1,11,10,2025-10-21,1,0.04878048780487805
REV_00108,Clothing - Dress,Clothing,9619,4,Very good quality. Exceeded my expectations. Will buy again.,positive,0,1,8,9,2025-08-31,0,0.05
REV_00109,Books - Comic,Books,9543,1,Terrible experience. Product arrived damaged. Poor packaging. Would recommend.,negative,0,1,39,9,2025-05-27,0,0.05128205128205128
REV_00110,Electronics - Smartphone,Electronics,8267,3,Terrible experience. Product arrived damaged. Poor packaging.,negative,0,1,31,7,2025-09-21,0,0.04918032786885246
REV_00111,Home - Bed,Home,9692,4,Very good quality. Exceeded my expectations. Will buy again.,positive,0,1,24,9,2025-05-31,0,0.05
REV_00112,Sports - Tennis Racket,Sports,4743,3,Superb quality and value for money. Totally satisfied.,positive,0,1,27,8,2025-03-31,0,0.037037037037037035
REV_00113,Books - Comic,Books,7132,3,Very good quality. Exceeded my expectations. Will buy again.,positive,0,0,20,9,2025-08-11,0,0.05
REV_00114,Books - Fiction Novel,Books,7105,3,Great product! Really satisfied with the quality. Worth the money.,positive,0,0,6,10,2025-08-23,1,0.045454545454545456
REV_00115,Sports - Bicycle,Sports,7929,3,Amazing product! Fast delivery and great customer service.,positive,0,1,42,8,2025-10-02,1,0.034482758620689655
REV_00116,Sports - Dumbbells,Sports,6736,4,Excellent purchase. Works perfectly as described. Highly recommend!,positive,0,0,14,8,2025-01-17,1,0.04477611940298507
REV_00117,Home - Bed,Home,5381,5,Superb quality and value for money. Totally satisfied.,positive,0,1,38,8,2025-10-14,0,0.037037037037037035
REV_00118,Home - Lamp,Home,2140,5,Excellent excellent excellent! Perfect perfect perfect!,positive,1,1,4,6,2025-08-17,2,0.03636363636363636
REV_00119,Electronics - Smartphone,Electronics,7062,2,Terrible experience. Product arrived damaged. Poor packaging.,negative,0,0,29,7,2025-05-22,0,0.04918032786885246
REV_00120,Sports - Bicycle,Sports,2336,3,Excellent purchase. Works perfectly as described. Highly recommend!,positive,0,1,48,8,2025-06-11,1,0.04477611940298507
REV_00121,Books - Comic,Books,6655,5,Very good quality. Exceeded my expectations. Will buy again.,positive,0,1,48,9,2025-03-22,0,0.05
REV_00122,Sports - Tennis Racket,Sports,1897,5,Best product ever!!! Amazing!!! 5 stars!!!,positive,1,1,3,6,2025-10-25,9,0.047619047619047616
REV_00123,Clothing - Jeans,Clothing,8055,1,Complete waste! Garbage! Fake! Lies!,negative,1,1,0,5,2025-07-31,4,0.1111111111111111
REV_00124,Sports - Yoga Mat,Sports,8532,5,Best product ever!!! Amazing!!! 5 stars!!! Good delivery.,positive,1,0,5,8,2025-09-19,9,0.05263157894736842
REV_00125,Sports - Tennis Racket,Sports,3815,5,Very good quality. Exceeded my expectations. Will buy again. Nice packaging.,positive,0,1,25,11,2024-12-16,0,0.05263157894736842
REV_00126,Home - Mixer,Home,2288,3,Excellent purchase. Works perfectly as described. Highly recommend!,positive,0,0,37,8,2025-04-09,1,0.04477611940298507
REV_00127,Home - Vacuum,Home,6724,4,Great product! Really satisfied with the quality. Worth the money.,positive,0,1,33,10,2025-05-02,1,0.045454545454545456
REV_00128,Clothing - Jeans,Clothing,2234,4,Excellent purchase. Works perfectly as described. Highly recommend! Would recommend.,positive,0,1,38,10,2025-07-30,1,0.047619047619047616
REV_00129,Books - Comic,Books,8205,3,Expected better quality. Cheap material. Not recommended.,negative,0,1,40,7,2025-09-24,0,0.05263157894736842
REV_00130,Home - Lamp,Home,1616,4,Best purchase I made this year. Quality is outstanding!,positive,0,1,19,9,2025-09-29,1,0.05454545454545454
REV_00131,Home - Mixer,Home,1672,3,Best purchase I made this year. Quality is outstanding!,positive,0,0,29,9,2025-03-12,1,0.05454545454545454
REV_00132,Sports - Yoga Mat,Sports,6626,5,Best purchase I made this year. Quality is outstanding!,positive,0,1,3,9,2025-09-15,1,0.05454545454545454
REV_00133,Clothing - T-Shirt,Clothing,5634,5,Amazing product! Fast delivery and great customer service.,positive,0,1,23,8,2025-04-13,1,0.034482758620689655
REV_00134,Home - Bed,Home,7333,4,Great product! Really satisfied with the quality. Worth the money.,positive,0,1,6,10,2025-06-05,1,0.045454545454545456
REV_00135,Sports - Yoga Mat,Sports,7421,5,Wow! Incredible! Super! Fantastic! Excellent!,positive,1,0,5,5,2025-08-23,5,0.1111111111111111
REV_00136,Electronics - Headphones,Electronics,9624,4,Superb quality and value for money. Totally satisfied.,positive,0,1,42,8,2025-09-11,0,0.037037037037037035
REV_00137,Books - Cookbook,Books,8967,4,Very good quality. Exceeded my expectations. Will buy again.,positive,0,1,13,9,2025-07-22,0,0.05
REV_00138,Clothing - Jeans,Clothing,1618,4,Best seller! Top quality! Must have! Recommended!,positive,1,0,5,7,2024-11-24,4,0.08163265306122448
REV_00139,Sports - Yoga Mat,Sports,3712,4,Excellent purchase. Works perfectly as described. Highly recommend!,positive,0,1,44,8,2025-03-18,1,0.04477611940298507
REV_00140,Home - Vacuum,Home,6070,2,Complete waste! Garbage! Fake! Lies! Fast shipping.,negative,1,0,3,7,2025-03-02,4,0.09803921568627451
REV_00141,Clothing - Jacket,Clothing,9641,3,Terrible experience. Product arrived damaged. Poor packaging.,negative,0,1,49,7,2025-03-28,0,0.04918032786885246
REV_00142,Clothing - Dress,Clothing,2680,4,Great product! Really satisfied with the quality. Worth the money.,positive,0,0,23,10,2024-10-29,1,0.045454545454545456
REV_00143,Electronics - Headphones,Electronics,2502,4,Very good quality. Exceeded my expectations. Will buy again. Thanks seller.,positive,0,0,32,11,2025-07-07,0,0.05333333333333334
REV_00144,Home - Mixer,Home,2337,5,Best purchase I made this year. Quality is outstanding!,positive,0,1,15,9,2025-04-20,1,0.05454545454545454
REV_00145,Home - Mixer,Home,3273,2,Complete waste! Garbage! Fake! Lies! Thanks seller.,negative,1,1,1,7,2024-11-01,4,0.09803921568627451
REV_00146,Sports - Running Shoes,Sports,9647,1,Very low quality. Not worth the price at all.,negative,0,1,9,9,2025-03-26,0,0.044444444444444446
REV_00147,Home - Vacuum,Home,8489,4,Perfect! Perfect! Perfect! Must buy! Great deal!,positive,1,0,5,7,2025-09-26,5,0.10416666666666667
REV_00148,Books - Cookbook,Books,6780,5,Great Great Great! Buy it now! You won't regret!,positive,1,1,2,9,2025-06-27,3,0.10416666666666667
REV_00149,Clothing - T-Shirt,Clothing,1713,4,Great product! Really satisfied with the quality. Worth the money.,positive,0,1,24,10,2024-12-07,1,0.045454545454545456
REV_00150,Home - Lamp,Home,2698,2,Not as described. Quality is poor. Disappointed with purchase.,negative,0,1,15,9,2025-01-04,0,0.04838709677419355
REV_00151,Home - Vacuum,Home,8840,4,Superb quality and value for money. Totally satisfied.,positive,0,1,49,8,2024-12-09,0,0.037037037037037035
REV_00152,Clothing - T-Shirt,Clothing,1686,1,Worst product ever! Don't buy! Scam! Fraud! Fast shipping.,negative,1,0,1,9,2025-05-20,4,0.08620689655172414
REV_00153,Sports - Tennis Racket,Sports,5687,3,Very low quality. Not worth the price at all.,negative,0,1,48,9,2025-04-29,0,0.044444444444444446
REV_00154,Electronics - Headphones,Electronics,7334,4,Amazing product! Fast delivery and great customer service.,positive,0,0,47,8,2025-05-08,1,0.034482758620689655
REV_00155,Books - Comic,Books,8055,4,Superb quality and value for money. Totally satisfied.,positive,0,1,46,8,2024-12-24,0,0.037037037037037035
REV_00156,Clothing - Dress,Clothing,7981,3,Great product! Really satisfied with the quality. Worth the money. Thanks seller.,positive,0,1,42,12,2025-08-04,1,0.04938271604938271
REV_00157,Home - Curtain,Home,1939,4,Best purchase I made this year. Quality is outstanding!,positive,0,0,17,9,2025-09-20,1,0.05454545454545454
REV_00158,Books - Textbook,Books,8179,4,Great product! Really satisfied with the quality. Worth the money.,positive,0,1,38,10,2025-10-11,1,0.045454545454545456
REV_00159,Clothing - Jacket,Clothing,7077,4,Best seller! Top quality! Must have! Recommended!,positive,1,1,5,7,2025-04-21,4,0.08163265306122448
REV_00160,Electronics - Camera,Electronics,1424,4,Amazing product! Fast delivery and great customer service. Good delivery.,positive,0,1,41,10,2025-07-25,1,0.0410958904109589
REV_00161,Books - Cookbook,Books,5678,4,Love it! Exactly what I was looking for. Perfect!,positive,0,0,13,9,2024-11-07,2,0.08163265306122448
REV_00162,Books - Biography,Books,2438,3,Amazing product! Fast delivery and great customer service.,positive,0,1,45,8,2024-11-13,1,0.034482758620689655
REV_00163,Home - Lamp,Home,3852,2,Very low quality. Not worth the price at all.,negative,0,1,45,9,2025-04-26,0,0.044444444444444446
REV_00164,Electronics - Laptop,Electronics,7044,2,Terrible experience. Product arrived damaged. Poor packaging.,negative,0,1,23,7,2025-03-03,0,0.04918032786885246
REV_00165,Sports - Yoga Mat,Sports,8842,3,Great product! Really satisfied with the quality. Worth the money.,positive,0,1,25,10,2025-02-01,1,0.045454545454545456
REV_00166,Books - Cookbook,Books,9476,4,Love it! Exactly what I was looking for. Perfect!,positive,0,1,28,9,2025-05-05,2,0.08163265306122448
REV_00167,Sports - Bicycle,Sports,9488,5,Amazing product amazing quality amazing price amazing everything!!!,positive,1,0,0,8,2025-08-11,3,0.014925373134328358
REV_00168,Clothing - Jacket,Clothing,5496,2,Very low quality. Not worth the price at all. Would recommend.,negative,0,1,5,11,2025-08-25,0,0.04838709677419355
REV_00169,Sports - Bicycle,Sports,6531,4,Best purchase I made this year. Quality is outstanding!,positive,0,1,10,9,2025-01-13,1,0.05454545454545454
REV_00170,Electronics - Smartphone,Electronics,1496,5,Great Great Great! Buy it now! You won't regret!,positive,1,1,4,9,2025-02-16,3,0.10416666666666667
REV_00171,Sports - Dumbbells,Sports,8430,4,Amazing product! Fast delivery and great customer service.,positive,0,1,43,8,2025-09-21,1,0.034482758620689655
REV_00172,Clothing - Shoes,Clothing,6231,5,Excellent purchase. Works perfectly as described. Highly recommend! Would recommend.,positive,0,1,38,10,2025-05-05,1,0.047619047619047616
REV_00173,Clothing - Jacket,Clothing,5061,3,Very good quality. Exceeded my expectations. Will buy again. Thanks seller.,positive,0,1,29,11,2025-08-17,0,0.05333333333333334
REV_00174,Home - Curtain,Home,6123,1,Terrible! Horrible! Awful! Stay away! Warning!,negative,1,1,2,6,2025-07-23,5,0.10869565217391304
REV_00175,Books - Cookbook,Books,9281,4,Amazing product! Fast delivery and great customer service.,positive,0,1,5,8,2025-03-08,1,0.034482758620689655
REV_00176,Clothing - Dress,Clothing,8710,3,Very good quality. Exceeded my expectations. Will buy again.,positive,0,0,38,9,2025-06-04,0,0.05
REV_00177,Electronics - Tablet,Electronics,1741,4,Love it! Exactly what I was looking for. Perfect!,positive,0,1,48,9,2025-04-06,2,0.08163265306122448
REV_00178,Sports - Yoga Mat,Sports,5582,5,Best product ever!!! Amazing!!! 5 stars!!!,positive,1,0,4,6,2024-12-13,9,0.047619047619047616
REV_00179,Electronics - Laptop,Electronics,3363,3,Very low quality. Not worth the price at all.,negative,0,1,35,9,2025-07-19,0,0.044444444444444446
REV_00180,Books - Cookbook,Books,3440,3,Excellent purchase. Works perfectly as described. Highly recommend!,positive,0,1,30,8,2024-12-22,1,0.04477611940298507
